DEPARTMENT OF THE TREASURY,,,,,,
Alcohol and Tobacco Tax and Trade Bureau,,,,,,
"National Revenue Center - 550 Main Street - Suite 8002 - Cincinnati, OH 45202-5215",,,,,,
1-877-882-3277,,,,,,
NUMBER OF BREWERS BY PRODUCTION SIZE - CY 2010,,,,,,
13-Sep-16,,,,,,
,,,,,,
Production Size - CY 2010,,,,,,
Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6),,
"6,000,001 Barrels and Over",17,"160,771,860.70","149,598,222.82","3,659,459.42",,
"1,000,000 to 6,000,000 Barrels (5)",5,"15,450,769.10","14,777,149.88","37,401.27",,
"500,001 to 1,000,000 Barrels",9,"7,138,171.64","6,362,275.19","16,610.42",,
"100,001 to 500,000 Barrels",32,"6,123,725.23","5,127,607.79","254,925.11",,
"60,001 to 100,000 Barrels",16,"1,226,091.75","1,034,161.39","12,534.00",,
"30,001 to 60,000 Barrels",38,"1,544,051.10","1,256,492.48","42,409.47",,
"15,001 to 30,000 Barrels",40,"911,065.75","781,016.15","19,077.36",,
"7,501 to 15,000 Barrels",51,"560,159.34","465,843.88","4,521.08",,
"1,001 to 7,500 Barrels",428,"1,059,505.16","962,969.63","2,227.70",,
"1 to 1,000 Barrels ","1,178","426,003.38","393,941.57","1,279.83",,
Total,"1,814","195,211,403.16","180,759,680.77","4,050,445.66",,
,,,,,,
,,,,,,
Legend,,,,,,
"1) Number of Breweries - Count of brewery premises reporting production operations and paying taxes during the calendar year, from TTB data records.",,,,,,
"2) Size - Based on Annual Production - The listed strata of breweries is based on the total amount of beer, in barrels, produced during the calendar year by each brewer.",,,,,,
"3) Barrels Produced - Total barrels of beer produced by the breweries comprising the named strata of data.  Totals from each brewer are drawn from Lines 2 and 3, column (g), ",,,,,,
"     of TTB Forms 5130.9 - Brewer's Report of Operations, and Lines 1 and 2 of TTB Form 5130.26 - Brewpub Report of Operations submitted  by brewer's for operations",,,,,,
     during the calendar year.,,,,,,
"4) Taxable Removals - Total barrels removed subject to tax by the breweries comprising the named strata of data.  Totals from each brewer are from Lines 14 and 15, ",,,,,,
"     column (g) of TTB Forms 5130.9 - Brewer's Report of Operations, less the totals from Line 7, column (g), (returns of this breweries' beer to the brewery during the",,,,,,
"     reporting period), plus Lines 10 and 11 of TTB Form 5130.26 -  Brewpub Report of Operations submitted by brewpubs for operations during the calendar year, ",,,,,,
     less the amounts on Line 4  (returns of this breweries' beer to the brewery).,,,,,,
"5) 1,000,000 to 6,000,000 Barrels - There is a breakdown of 1,000,001 to 1,999,999 Barrels in succeeding years.  Due to disclosure violations, it is not possible to display for CY 2010.",,,,,,
6)  Barrels Shipped (or Exported) - Total barrels of beer removed from brewery without payment of tax for direct export.,,,,,,
