Barrels 31 gallons,Number of Breweries ,Total Barrels,Taxable Removals ,Total Shipped
"6,000,001 Barrels and Over",17,160771860.7,149598222.8,3659459.42
"1,000,000 to 6,000,000 Barrels",5,15450769.1,14777149.88,37401.27
"500,001 to 1,000,000 Barrels",9,7138171.64,6362275.19,16610.42
"100,001 to 500,000 Barrels",32,6123725.23,5127607.79,254925.11
"60,001 to 100,000 Barrels",16,1226091.75,1034161.39,12534
"30,001 to 60,000 Barrels",38,1544051.1,1256492.48,42409.47
"15,001 to 30,000 Barrels",40,911065.75,781016.15,19077.36
"7,501 to 15,000 Barrels",51,560159.34,465843.88,4521.08
"1,001 to 7,500 Barrels",428,1059505.16,962969.63,2227.7
"1 to 1,000 Barrels ",1178,426003.38,393941.57,1279.83
Total,1814,195211403.2,180759680.8,4050445.66
