Barrels 31 gallons,Number of Breweries,Total Barrels ,Taxable Removals,Total Shipped 
"6,000,001 Barrels and Over",16,138963353.8,128108304.3,3578089.34
"2,000,000 to 6,000,000 Barrels",5,17703591,16695626.31,84271.18
"1,000,001 to 1,999,999 Barrels",9,13524548.35,12843570.78,363998.23
"500,001 to 1,000,000 Barrels",11,8448633.99,7946481.07,50702.23
"100,001 to 500,000 Barrels",41,7926808.21,6624765.18,242865.43
"60,001 to 100,000 Barrels",16,1157839.9,1059934.77,11701.43
"30,001 to 60,000 Barrels",43,1754234.55,1476996.37,52204.69
"15,001 to 30,000 Barrels",42,893273.36,710825.62,40413.02
"7,501 to 15,000 Barrels",63,662095.46,577424.67,270.75
"1,001 to 7,500 Barrels",513,1254333.75,1126835.82,930.14
"1 to 1,000 Barrels ",1334,458109.83,416612.28,580.62
Total,2093,192746822.2,177587377.1,4426027.06
