Barrels 31 gallons,Number of Breweries ,Total Barrels ,Taxable Removals,Total Shipped 
"6,000,001 Barrels and Over",17,153023498.6,141659034.5,4385750.82
"2,000,000 to 6,000,000 Barrels",4,13394409.41,12862214.07,495472.05
"1,000,001 to 1,999,999 Barrels",4,4821249.3,4665737.17,35344.17
"500,001 to 1,000,000 Barrels",7,4797758.09,4476211,4972.9
"100,001 to 500,000 Barrels",38,7637584.41,6147217.43,275310.15
"60,001 to 100,000 Barrels",24,1824548.27,1608488.44,24431.21
"30,001 to 60,000 Barrels",52,2271814.7,1909650.87,58028.54
"15,001 to 30,000 Barrels",51,1087970.73,921515.39,18103.53
"7,501 to 15,000 Barrels",81,842820.06,740591.81,6428.53
"1,001 to 7,500 Barrels",645,1693579.73,1479649,6369.45
"1 to 1,000 Barrels ",1923,602141.42,528020.28,922.77
Total,2846,191997374.8,176998329.9,5311134.12
