Barrels 31 gallons,Number of Breweries ,Total Barrels ,Taxable Removals ,Total Shipped 
"6,000,001 Barrels and Over",15,138677888.1,127713535.8,4331255.24
"2,000,000 to 6,000,000 Barrels",6,25151895.32,23845947.59,610799.51
"1,000,001 to 1,999,999 Barrels",5,6055336.28,5863392.69,43468.52
"500,001 to 1,000,000 Barrels",6,3836841.48,3593230.98,9185.76
"100,001 to 500,000 Barrels",44,9093514.82,7116673.8,344448.36
"60,001 to 100,000 Barrels",20,1548669.55,1383528.02,20895.86
"30,001 to 60,000 Barrels",62,2639561.55,2301357.8,40785.96
"15,001 to 30,000 Barrels",62,1310960.09,1070829.91,71296.98
"7,501 to 15,000 Barrels",102,1042199.42,916679.91,22024.91
"1,001 to 7,500 Barrels",730,1959533.5,1701354.4,12954.04
"1 to 1,000 Barrels ",2321,698737.88,607290.33,1547.17
Total,3373,192015138,176113821.2,5508662.31
