Barrels ,Number of Breweries ,Total Barrels,Taxable Removals ,Total Shipped 
"6,000,001 Barrels and Over",14,131659359.2,119774532,5066076.38
"2,000,000 to 6,000,000 Barrels",7,26452765.43,25147830.59,898290.35
"1,000,001 to 1,999,999 Barrels",4,4999263.95,4994536.9,47250.18
"500,001 to 1,000,000 Barrels",6,4293996.9,4014943.39,4748.99
"100,001 to 500,000 Barrels",45,10469048.22,8618323.45,276289.46
"60,001 to 100,000 Barrels",38,3052311.48,2395062.26,48970.93
"30,001 to 60,000 Barrels",53,2329947.35,2069205.94,85136.87
"15,001 to 30,000 Barrels",75,1577515.39,1341223.91,37302.6
"7,501 to 15,000 Barrels",148,1550640.42,1351541.96,11813.32
"1,001 to 7,500 Barrels",935,2461722.99,2282897.14,13608.25
"1 to 1,000 Barrels ",3283,993337.92,864097.2,889.04
Under 1 Barrel,488,4.43,102983.4,601.98
Total,5096,189839913.7,172957178.1,6490978.35
