Barrels 31 gallons,Number of Breweries ,Total Barrels,Taxable Removals,Total Shipped 
"6,000,001 Barrels and Over",15,135615117.5,124049346.8,5331930.36
"2,000,000 to 6,000,000 Barrels",5,17288133.2,16092810.95,1015504.88
"1,000,001 to 1,999,999 Barrels",4,4868564.08,4897090.56,4110.4
"500,001 to 1,000,000 Barrels",10,6253029.02,5720117.89,94410.33
"100,001 to 500,000 Barrels",40,8792844.25,6811548.01,235283.84
"60,001 to 100,000 Barrels",41,3175932.85,2714928.75,47505.37
"30,001 to 60,000 Barrels",53,2230144.53,1940812.97,27479.68
"15,001 to 30,000 Barrels",99,2062332.14,2239986.46,38491.22
"7,501 to 15,000 Barrels",152,1565335.71,1556842.26,6874.6
"1,001 to 7,500 Barrels",1030,2656419.36,3626288.32,11294.07
"1 to 1,000 Barrels ",3646,1073977.86,1003361.14,790.59
Under 1 Barrel,553,6.73,107494.1,503.53
Total,5648,185581837.2,170760628.2,6814178.87
