Barrels ,Number of Breweries ,Total Barrels,Taxable Removals ,Total Shipped
"6,000,001 Barrels and Over",15,131336734,124471154.5,5749122.46
"2,000,000 to 6,000,000 Barrels",5,17410932.97,17957039.46,734605.51
"1,000,001 to 1,999,999 Barrels",5,6076447.34,6110085.42,3062.55
"500,001 to 1,000,000 Barrels",10,5859956.25,4794122.05,111188.34
"100,001 to 500,000 Barrels",42,8777286.22,7630983.19,170814.06
"60,001 to 100,000 Barrels",40,3120044.87,4465192.18,72115.4
"30,001 to 60,000 Barrels",53,2170405.47,2381170.54,43487.3
"15,001 to 30,000 Barrels",102,2124238.48,1871360.04,15417.41
"7,501 to 15,000 Barrels",155,1618340.38,1406728.12,3983.17
"1,001 to 7,500 Barrels",1132,3058297.95,2641714.49,2588.08
"1 to 1,000 Barrels ",4241,1238268.9,1169873.68,2299.59
Total,5964,182790960.3,175041925,6908958.24
