,States,Breweries,Breweries Per Capita,Barrels
0,Alabama,51,1.4,84013
1,Alaska,45,8.8,202797
2,Arizona,127,2.4,194345
3,Arkansas,42,1.9,46272
4,California,907,3.1,3664080
5,Colorado,425,10.0,1529613
6,Connecticut,104,3.9,236444
7,Delaware,27,3.7,317328
8,District of Columbia,12,2.2,35857
9,Florida,329,2.0,1401142
10,Georgia,111,1.5,514414
11,Hawaii,24,2.3,85256
12,Idaho,73,5.8,91819
13,Illinois,284,3.0,421809
14,Indiana,192,3.9,266443
15,Iowa,105,4.6,141942
16,Kansas,59,2.9,45846
17,Kentucky,69,2.1,130940
18,Louisiana,40,1.2,237721
19,Maine,133,12.7,361705
20,Maryland,112,2.5,301966
21,Massachusetts,175,3.3,638231
22,Michigan,400,5.4,903153
23,Minnesota,196,4.7,644655
24,Mississippi,14,0.7,25257
25,Missouri,140,3.1,363383
26,Montana,92,11.5,218547
27,Nebraska,55,4.0,54892
28,Nevada,45,2.0,87469
29,New Hampshire,91,8.7,117314
30,New Jersey,127,1.9,171097
31,New Mexico,94,6.2,144530
32,New York,423,2.9,1347435
33,North Carolina,333,4.3,1296320
34,North Dakota,22,4.0,21225
35,Ohio,311,3.6,1334762
36,Oklahoma,55,1.9,79747
37,Oregon,311,9.7,1012854
38,Pennsylvania,401,4.1,3606444
39,Rhode Island,33,4.1,65140
40,South Carolina,88,2.3,109987
41,South Dakota,33,5.2,20843
42,Tennessee,108,2.1,194669
43,Texas,341,1.7,1180393
44,Utah,42,2.0,174323
45,Vermont,68,14.2,345590
46,Virginia,290,4.6,344972
47,Washington,423,7.5,583956
48,West Virginia,28,2.0,22964
49,Wisconsin,205,4.7,883648
50,Wyoming,41,9.8,56403
