barrels_31gallons,number_of_breweries_10,number_of_breweries_11,number_of_breweries_12,number_of_breweries_13,number_of_breweries_14,number_of_breweries_15,number_of_breweries_16,number_of_breweries_17,number_of_breweries_18,number_of_breweries_19
"6,000,001 Barrels and Over",17,16,17,17,15,15,14,15,15,15
"500,001 to 1,000,000 Barrels",9,11,7,7,6,7,6,10,10,12
"100,001 to 500,000 Barrels",32,41,39,38,44,49,45,40,42,42
"60,001 to 100,000 Barrels",16,16,20,24,20,24,38,41,40,33
"30,001 to 60,000 Barrels",38,43,50,52,62,56,53,53,53,64
"15,001 to 30,000 Barrels",40,42,44,51,62,71,75,99,102,102
"7,501 to 15,000 Barrels",51,63,77,81,102,133,148,152,155,159
"1,001 to 7,500 Barrels",428,513,564,645,730,851,935,1030,1132,1183
"1 to 1,000 Barrels ",1178,1334,1604,1923,2321,2812,3283,3646,4241,4577
Total,1814,2093,2430,2846,3373,4504,5096,5648,5964,"6,400"
