Year,"6,000,001 Barrels and Over","2,000,000 to 6,000,000 Barrels","1,000,001 to 1,999,999 Barrels","500,001 to 1,000,000 Barrels","100,001 to 500,000 Barrels","60,001 to 100,000 Barrels","30,001 to 60,000 Barrels","15,001 to 30,000 Barrels","7,501 to 15,000 Barrels","1,001 to 7,500 Barrels","1 to 1,000 Barrels",Total,Total Craft
2010,161000000, -   ,15500000,7140000,6120000,1230000,1540000,911000,560000,1060000,426000,195000000,34400000
2011,139000000,17700000,13500000,8450000,7930000,1160000,1750000,893000,662000,1250000,458000,193000000,53800000
2012,158000000,11700000,6860000,4650000,7810000,1470000,2180000,914000,821000,1400000,517000,196000000,38400000
2013,153000000,13400000,4820000,4800000,7640000,1820000,2270000,1090000,843000,1690000,602000,192000000,39000000
2014,139000000,25200000,6060000,3840000,9090000,1550000,2640000,1310000,1040000,1960000,699000,192000000,53300000
2015,136000000,23900000,5000000,5050000,10600000,1890000,2450000,1510000,1430000,2240000,836000,191000000,55000000
2016,132000000,26500000,5000000,4290000,10500000,3050000,2330000,1580000,1550000,2460000,993000,190000000,58200000
2017,136000000,17300000,4870000,6250000,8790000,3180000,2230000,2060000,1570000,2660000,1070000,186000000,50000000
2018,131000000,17400000,6080000,5860000,8780000,3120000,2170000,2120000,1620000,3060000,1240000,183000000,51500000
2019,126000000,18300000,6060000,7590000,8370000,2580000,2680000,2170000,1680000,3150000,1320000,180000000,53900000
